time,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,gamma1_deg,gamma2_deg,varpi1_rpm,varpi2_rpm,euler_roll_deg,euler_pitch_deg,euler_yaw_deg
0.000519677,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010090774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039354,-1.039354,0.0,0.0,0.0
0.020005616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.181548,-20.181548,0.0,0.0,0.0
0.030078787,1.0,4.879913968334617e-21,0.0,0.0,1.555573857356785e-18,0.0,0.0,0.0,0.0,40.011232,-40.011232,5.591969495450216e-19,0.0,0.0
0.040007321,1.0,1.753769722345316e-20,0.0,0.0,3.11114771471357e-18,0.0,0.0,0.0,0.0,60.157574000000004,-60.157574000000004,2.0096720665643366e-18,0.0,0.0
0.050103669,1.0,2.8576679537707966e-20,0.0,0.0,1.9819586498853078e-18,0.0,0.0,0.0,0.0,80.014642,-80.014642,3.2746462600170537e-18,0.0,0.0
0.060099485,1.0,3.848647278292796e-20,0.0,0.0,1.9819586488336684e-18,0.0,0.0,0.0,0.0,100.20733800000002,-100.20733800000002,4.410224917613768e-18,0.0,0.0
0.070048751,1.0,4.839626602709633e-20,0.0,0.0,1.9819586488336684e-18,0.0,0.0,0.0,0.0,120.19897,-120.19897,5.5458035750899755e-18,0.0,0.0
0.080095517,1.0,4.839626602709633e-20,0.0,0.0,1.9819586488336684e-18,0.0,0.0,0.0,0.0,140.097502,-140.097502,5.5458035750899755e-18,0.0,0.0
0.090042827,1.0,6.338741005878532e-20,0.0,0.0,3.1111477126102916e-18,0.0,0.0,0.0,0.0,160.19103400000003,-160.19103400000003,7.263662141267001e-18,0.0,0.0
0.100056051,1.0,8.458909394124573e-20,0.0,0.0,4.240336776386915e-18,0.0,0.0,0.0,0.0,180.08565400000003,-180.08565400000003,9.693196151338046e-18,0.0,0.0
0.110119149,1.0,1.057907778279127e-19,0.0,0.0,4.240336777438554e-18,0.0,0.0,0.0,0.0,200.112102,-200.112102,1.2122730161891128e-17,0.0,0.0
0.120055115,1.0,1.2755705625225193e-19,0.0,0.0,5.369525843318456e-18,0.0,0.0,0.0,0.0,220.23829799999996,-220.23829799999996,1.4616961940733732e-17,0.0,0.0
0.130085843,1.0,1.544046854741025e-19,0.0,0.0,5.369525844370096e-18,0.0,0.0,0.0,0.0,240.11023000000003,-240.11023000000003,1.7693473629422e-17,0.0,0.0
0.140086744,1.0,1.8181690922310902e-19,0.0,0.0,6.498714908146719e-18,0.0,0.0,0.0,0.0,260.171686,-260.171686,2.0834683085194716e-17,0.0,0.0
0.15015747,1.0,2.1374588923668673e-19,0.0,0.0,5.369525844370096e-18,0.0,0.0,0.0,0.0,280.173488,-280.173488,2.449347468306584e-17,0.0,0.0
0.160031435,1.0,2.40593518453279e-19,0.0,0.0,5.369525843318456e-18,0.0,0.0,0.0,0.0,300.31494,-300.31494,2.7569986371151557e-17,0.0,0.0
0.170104899,1.0,2.6744114767460376e-19,0.0,0.0,5.369525843318456e-18,0.0,0.0,0.0,0.0,320.0628700000001,-320.0628700000001,3.0646498059779573e-17,0.0,0.0
0.180075093,1.0,2.93159587825842e-19,0.0,0.0,4.240336777438554e-18,0.0,0.0,0.0,0.0,340.20979800000003,-340.20979800000003,3.3593614212431073e-17,0.0,0.0
0.190133008,1.0,3.1323208264820653e-19,0.0,0.0,3.1111477126102916e-18,0.0,0.0,0.0,0.0,360.15018599999996,-360.15018599999996,3.589375268767044e-17,0.0,0.0
0.200081296,1.0,3.287878212117837e-19,0.0,0.0,3.111147713661931e-18,0.0,0.0,0.0,0.0,380.2660160000001,-380.2660160000001,3.767630902147418e-17,0.0,0.0
